CREDITO;CREDITO_DURACAO;CREDITO_PROPOSITO;HISTORICO_CREDIBILIDADE;HISTORICO_CREDITOS;HISTORICO_MOVIMENTACAO_BANCARIA;HISTORICO_PAGAMENTOS_ANTERIORES;HISTORICO_POUPANCA;CLIENTE_SEXO_ESTADO_CIVIL;CLIENTE_FIADOR;CLIENTE_IDADE;CLIENTE_EMPREGO;CLIENTE_TEMPO_EMPREGO;CLIENTE_HABITACAO;CLIENTE_TEMPO_HABITACAO
1049;18;2;1;1;1;4;1;2;1;21;3;2;1;4
2799;9;0;1;2;1;4;1;3;1;36;3;3;1;2
841;12;9;1;1;2;2;2;2;1;23;2;4;1;4
2122;12;0;1;2;1;4;1;3;1;39;2;3;1;2
2171;12;0;1;2;1;4;1;3;1;38;2;3;2;4
2241;10;0;1;2;1;4;1;3;1;48;2;2;1;3
3398;8;0;1;2;1;4;1;3;1;39;2;4;2;4
1361;6;0;1;1;1;4;1;3;1;40;2;2;2;4
1098;18;3;1;2;4;4;1;2;1;65;1;1;2;4
3758;24;3;1;1;2;2;3;2;1;23;1;1;1;4
3905;11;0;1;2;1;4;1;3;1;36;3;3;1;2
6187;30;1;1;2;1;4;2;4;1;24;3;4;1;4
1957;6;3;1;1;1;4;1;2;1;31;3;4;2;4
7582;48;10;1;1;2;3;2;3;1;31;4;1;2;4
1936;18;3;1;2;1;2;5;4;1;23;2;4;1;4
2647;6;3;1;1;1;2;3;3;1;44;3;3;1;3
3939;11;0;1;2;1;4;1;3;1;40;2;3;2;2
3213;18;3;1;1;2;2;3;4;1;25;3;2;1;3
2337;36;3;1;1;2;4;1;3;1;36;3;5;2;4
7228;11;0;1;2;4;4;1;3;1;39;2;3;2;4
3676;6;0;1;3;1;4;1;3;1;37;3;3;1;3
3124;12;0;1;2;2;4;1;3;1;49;2;2;2;3
2384;36;5;0;1;2;2;1;3;1;33;2;2;1;1
1424;12;4;1;1;2;4;1;3;1;26;3;4;2;3
4716;6;0;1;2;1;4;5;3;1;44;2;2;2;3
4771;11;3;1;1;2;3;1;3;1;51;3;4;2;4
652;12;2;1;1;1;2;1;2;1;24;3;5;1;4
1154;9;3;1;3;2;4;1;3;1;37;2;5;2;4
3556;15;0;1;1;4;2;5;3;1;29;3;3;2;2
4796;42;1;1;1;3;4;1;3;1;56;3;5;3;4
3017;30;3;1;1;3;4;1;3;1;47;3;5;2;4
3535;36;0;1;2;4;4;1;3;1;37;3;4;2;4
6614;36;0;1;2;4;4;1;3;1;34;4;5;2;4
1376;24;3;1;1;4;2;3;2;1;28;3;4;2;1
1721;15;0;1;1;1;2;1;3;1;36;3;2;2;3
860;6;0;1;2;1;4;1;2;1;39;3;5;2;4
1495;12;0;1;2;4;4;1;3;1;38;2;5;2;1
1934;12;3;1;2;4;4;1;3;1;26;3;5;2;2
3378;18;1;1;1;4;2;5;3;1;31;3;3;2;1
3868;24;1;1;2;4;4;1;2;1;41;4;5;1;2
996;12;5;1;2;4;4;5;2;1;23;3;4;2;4
1755;24;10;1;1;1;2;1;2;3;58;2;5;2;4
1028;18;0;1;2;4;4;1;2;1;36;3;3;2;3
2825;24;9;1;2;2;4;5;3;1;34;3;4;2;3
1239;18;6;1;1;2;2;5;3;1;61;3;3;3;4
1216;18;0;0;1;1;2;1;2;1;23;3;2;1;3
1258;24;9;1;1;4;2;1;3;1;25;3;4;2;1
1864;18;6;0;2;4;4;2;2;1;30;3;3;2;2
1474;24;0;1;1;4;2;2;4;1;33;3;2;2;3
1382;24;9;1;2;1;4;2;3;1;26;3;4;2;1
640;12;0;1;1;4;2;1;1;1;49;2;3;2;2
3919;36;3;1;1;3;2;1;3;1;23;3;3;2;2
1224;9;0;1;2;4;4;1;3;1;30;3;3;2;1
2331;12;3;1;1;4;4;5;3;2;49;3;5;2;4
6313;24;1;1;1;4;2;5;3;1;41;4;5;2;4
385;12;3;1;4;1;4;1;2;1;58;2;4;2;3
1655;12;3;1;2;4;4;1;3;1;63;2;5;2;4
1053;15;3;1;1;1;2;1;4;1;27;3;2;2;2
3160;21;3;1;1;4;2;5;3;1;41;3;5;2;3
3079;36;0;1;1;4;2;5;3;1;36;3;3;2;4
1163;12;0;1;1;4;4;3;3;1;44;3;3;2;4
2679;24;1;1;1;4;2;1;2;1;29;4;2;2;1
3578;48;3;1;1;4;4;5;3;1;47;3;5;2;1
10875;36;0;1;2;4;3;1;3;1;45;3;5;2;2
1344;12;0;1;2;1;3;1;3;1;43;2;3;2;2
1237;6;3;1;2;4;4;2;2;1;27;3;3;2;1
3077;12;3;1;1;4;2;1;3;1;52;3;3;2;4
2284;24;3;1;1;4;2;1;3;1;28;3;4;2;2
1567;12;3;1;1;2;2;1;2;1;22;3;3;2;1
2032;24;0;1;2;4;3;1;3;1;60;3;5;3;4
2745;21;2;1;2;2;4;4;3;1;32;3;4;2;2
1867;30;3;1;1;4;2;5;3;1;58;3;5;2;4
2299;36;3;1;1;4;2;3;3;1;39;3;5;2;4
929;24;2;1;1;4;2;5;3;1;31;3;4;2;2
3399;12;3;1;1;3;2;5;3;1;37;4;5;2;3
2030;9;2;1;1;2;2;5;3;1;24;3;4;2;1
3275;21;1;1;1;4;4;1;3;1;36;4;5;2;4
1940;24;0;1;1;4;4;4;3;1;60;3;5;2;4
1602;21;0;1;2;1;4;1;4;1;30;3;5;2;3
1979;15;3;1;1;4;2;5;3;1;35;3;5;2;2
2022;24;0;1;1;4;4;1;2;1;37;3;3;2;4
3342;36;3;1;1;4;4;5;3;1;51;3;5;2;2
5866;18;0;1;2;2;2;2;3;1;30;3;3;2;2
2360;15;1;1;1;3;4;3;3;1;36;3;3;2;2
1520;15;2;1;1;4;4;5;3;1;63;3;5;2;4
3651;12;0;1;1;1;2;4;3;1;31;3;3;2;3
2346;24;1;1;2;4;4;1;3;1;35;3;4;2;3
4454;36;3;1;2;4;3;1;2;1;34;3;3;2;4
666;6;0;1;2;1;4;4;2;1;39;2;4;2;4
1965;24;0;1;2;2;3;5;2;1;42;3;3;1;4
1995;12;0;1;1;2;4;2;3;1;27;3;2;2;1
2991;30;3;1;1;2;2;5;2;1;25;3;5;2;4
4221;30;9;1;2;2;0;1;2;1;28;3;3;2;1
1364;9;3;1;1;1;2;1;3;1;59;3;4;2;4
6361;18;2;1;1;2;4;1;3;1;41;3;5;2;1
4526;27;2;1;2;4;4;4;3;1;32;2;2;2;2
3573;12;3;1;1;2;4;1;2;1;23;2;3;2;1
4455;36;9;0;2;2;3;1;1;1;30;4;3;2;2
2136;9;2;1;1;1;2;1;3;1;25;3;3;2;2
5954;42;9;1;2;2;4;1;2;1;41;2;4;2;1
3777;24;2;1;1;4;4;4;3;1;40;3;3;2;4
806;15;9;1;1;1;2;1;2;1;22;2;3;2;4
4712;24;9;1;2;2;3;5;3;1;34;4;3;2;2
7432;36;0;1;1;2;3;1;2;1;54;3;3;1;2
1851;24;3;1;2;4;4;1;4;3;33;3;4;2;2
1393;24;0;1;1;4;2;1;3;3;31;3;3;2;2
1412;12;9;1;2;4;4;1;2;3;29;4;3;2;2
1473;18;3;1;1;4;2;1;4;1;39;3;2;2;4
1533;24;3;1;1;4;2;1;2;1;38;3;2;2;3
2012;12;6;1;1;4;4;5;2;1;61;3;4;2;2
3959;15;0;0;1;1;2;1;2;1;29;3;3;2;2
428;6;2;1;1;1;2;1;2;1;49;3;5;2;1
2366;12;0;1;1;2;4;3;1;1;36;4;4;2;3
763;12;2;1;1;4;2;1;2;1;26;3;3;2;1
3976;21;2;1;1;2;2;5;3;1;35;3;4;2;3
6260;18;0;1;1;2;2;1;3;1;28;2;4;1;3
1919;9;2;1;1;2;4;1;3;1;35;3;4;1;3
2603;24;1;1;1;4;2;4;2;1;28;3;3;1;4
936;9;6;1;2;4;4;3;3;1;52;3;5;2;2
3062;24;2;1;1;4;2;3;3;1;32;3;5;1;3
4795;36;3;1;1;2;2;1;2;1;30;4;2;2;1
5842;36;1;1;2;4;4;1;3;1;35;3;5;2;2
2063;6;3;1;1;2;2;1;4;1;30;4;2;1;3
1459;15;3;1;1;4;4;1;2;1;43;2;3;2;2
1213;15;3;1;1;4;2;3;3;1;47;3;5;2;3
5103;24;3;1;3;4;4;1;4;1;47;3;2;3;3
874;15;4;1;1;4;2;5;2;1;24;3;2;2;1
2978;6;2;1;1;4;2;3;3;1;32;3;3;2;2
1820;18;0;1;1;4;2;1;4;1;30;4;3;2;2
2872;24;3;1;1;4;4;2;3;1;36;3;5;2;4
1925;24;2;1;1;3;2;1;3;1;26;3;3;2;2
2515;18;2;1;1;4;2;1;3;1;43;3;3;2;4
2116;6;2;1;1;3;2;1;3;1;41;3;3;2;2
1453;18;3;1;1;4;2;1;2;1;26;3;2;2;1
1364;10;0;1;1;4;2;1;2;1;64;3;3;2;4
1543;6;2;1;1;4;2;4;1;1;33;3;3;2;2
1318;12;0;1;1;2;2;4;3;1;54;3;5;2;4
2325;24;0;1;1;1;1;2;3;1;32;3;4;2;3
932;6;8;1;2;2;4;5;2;1;39;2;4;2;3
3148;24;3;1;2;3;4;5;3;1;31;3;3;2;2
3835;36;3;1;1;4;2;5;2;1;45;2;5;2;4
3832;9;6;1;1;4;2;5;3;1;64;2;5;2;4
5084;24;3;1;1;2;2;5;2;1;42;3;5;2;4
2406;9;2;1;1;4;4;1;3;1;31;4;1;2;3
2394;36;3;1;1;4;2;5;2;1;25;3;3;2;4
2476;21;1;1;1;4;2;5;3;1;46;4;5;2;4
2964;24;1;1;1;1;2;5;3;1;49;3;5;3;4
1262;12;2;1;1;1;2;5;1;1;49;2;5;2;4
1542;12;9;1;1;4;2;1;3;1;36;3;4;2;4
1743;24;3;1;2;2;4;1;3;1;48;2;5;2;2
409;12;3;1;2;3;1;4;2;1;42;3;3;1;3
2171;12;3;1;1;4;2;1;2;1;29;3;2;2;2
8858;48;1;1;2;4;4;5;3;1;35;3;4;3;1
3512;24;0;1;2;2;2;2;3;1;38;3;4;2;3
1158;12;3;1;1;2;2;3;1;1;26;3;3;2;1
2684;24;3;1;2;4;4;1;3;1;35;2;3;2;2
1498;12;3;1;1;1;2;1;2;1;23;3;3;2;1
5954;30;3;1;1;4;4;1;3;2;38;3;4;2;2
6416;48;9;0;1;2;1;1;2;1;59;3;5;1;3
3617;12;2;1;3;2;4;1;3;1;28;3;5;1;4
1291;12;3;1;2;4;4;1;2;1;35;3;3;2;2
1275;24;9;1;2;3;4;4;1;1;36;3;3;2;4
3972;24;2;1;1;4;2;1;2;1;25;3;4;1;4
3343;15;2;1;1;4;4;1;3;1;28;3;3;3;2
392;15;6;1;1;3;2;1;2;1;23;3;2;1;4
2134;9;0;1;3;4;4;1;3;1;48;3;3;2;4
5771;30;3;1;2;4;4;1;2;1;25;3;4;2;2
4526;24;9;1;1;4;4;1;3;1;74;4;3;2;2
2788;15;2;1;2;4;4;1;2;2;24;3;4;2;3
1382;6;3;1;2;4;4;1;2;1;28;3;3;2;1
5848;36;3;1;1;3;2;1;3;1;24;3;3;2;1
1228;12;0;0;1;1;2;1;2;1;24;2;3;2;2
1297;12;3;1;1;3;2;1;4;1;23;3;3;1;4
1552;24;3;1;1;4;2;1;3;1;32;3;4;2;1
1963;12;3;1;2;4;2;1;3;1;31;4;4;1;2
3235;24;3;1;1;4;2;3;1;1;36;4;5;2;2
4139;24;9;1;2;4;4;2;3;1;27;2;3;2;3
1804;12;1;1;1;2;4;2;3;1;44;3;2;2;4
1950;18;9;1;2;4;2;1;3;1;34;3;4;2;1
12749;48;3;1;1;4;3;3;3;1;37;4;4;2;1
1236;9;4;1;1;4;2;1;2;1;23;3;2;1;4
1055;18;0;1;2;4;4;1;2;1;30;3;2;2;1
8072;30;9;1;3;1;0;5;3;1;25;3;2;2;3
2831;30;3;1;1;4;4;1;2;1;33;3;3;2;2
1449;9;9;1;2;4;2;1;2;1;27;3;4;2;2
5742;36;9;1;2;4;2;2;3;1;31;3;4;2;2
2390;12;0;1;1;4;2;5;3;1;50;3;5;2;3
3430;24;3;1;1;4;2;3;3;1;31;3;5;2;2
2273;36;6;1;2;2;2;1;3;1;32;3;4;2;1
2923;21;0;1;1;3;2;2;2;1;28;4;3;2;1
1901;24;3;1;1;4;2;2;3;1;29;4;3;1;4
3711;36;6;1;1;2;2;5;4;1;27;3;3;2;2
8487;48;0;1;1;2;2;5;2;1;24;3;4;2;2
2255;24;0;1;1;4;2;5;3;1;54;3;2;2;1
1262;12;3;1;1;4;2;1;3;1;25;3;3;2;2
7253;33;1;1;2;4;4;1;3;1;35;4;4;2;2
6761;6;0;1;2;4;4;1;3;1;45;4;4;2;3
1817;18;2;1;2;4;4;1;2;1;28;3;3;2;2
2141;12;3;1;1;4;2;2;3;1;35;3;4;2;1
3609;48;9;1;1;4;1;1;2;1;27;3;3;2;1
2333;30;3;1;1;4;2;3;3;1;30;4;5;2;2
7824;28;1;1;2;4;1;5;3;3;40;3;2;1;4
1445;18;3;1;1;3;1;5;3;1;49;2;4;2;4
7721;24;2;1;1;1;2;5;2;1;30;3;2;2;2
3763;21;0;1;1;1;2;5;3;2;24;2;4;2;2
4439;18;9;1;1;2;2;1;3;2;33;4;5;2;1
1107;12;3;1;1;1;2;1;3;1;20;4;3;1;2
1444;15;3;1;1;2;2;5;3;1;23;3;2;2;1
12169;48;0;1;1;2;1;5;3;2;36;4;1;3;4
2753;9;3;1;1;4;2;2;3;2;35;3;5;2;4
1494;4;0;1;1;3;2;5;3;1;29;2;2;2;2
2828;24;2;1;1;1;1;3;3;1;22;3;3;2;4
2483;24;2;1;1;1;1;3;3;1;22;3;3;2;4
1299;6;0;1;3;3;4;1;3;1;74;1;3;2;1
1549;9;0;1;1;2;2;5;3;1;35;1;2;2;2
3949;10;0;1;1;3;2;1;3;3;37;2;2;2;1
2901;10;1;1;1;4;2;5;2;1;31;3;2;1;4
709;6;0;1;1;3;2;4;4;1;27;1;2;2;2
10722;47;0;1;1;1;2;1;2;1;35;2;2;2;1
1287;10;0;1;1;4;2;5;3;2;45;2;5;2;2
1940;18;3;1;1;1;1;1;3;2;36;4;2;3;4
3656;30;3;1;2;3;4;5;3;1;49;2;5;2;4
4679;24;1;1;2;4;3;1;3;1;35;2;4;2;3
8613;27;1;1;2;4;3;4;3;1;27;3;3;2;2
2659;18;2;1;1;1;2;4;3;1;28;3;3;2;2
1516;24;3;1;2;4;4;4;2;1;43;2;3;2;1
4380;18;0;1;1;1;2;2;3;1;35;2;3;2;4
802;14;0;1;2;4;3;1;3;1;27;2;3;2;2
1572;21;9;1;1;4;2;4;2;1;36;2;5;2;4
3566;48;9;1;1;2;1;2;3;1;30;3;4;2;2
1278;24;3;1;1;4;2;1;3;1;36;4;5;2;1
426;6;3;1;1;4;0;1;4;1;39;2;5;2;4
8588;39;1;1;1;4;2;2;3;1;45;4;5;2;2
3857;30;1;1;1;1;2;1;1;1;40;4;3;2;4
685;12;0;0;1;2;2;1;4;1;25;2;4;2;3
1603;24;3;1;1;1;2;1;2;1;55;3;5;2;4
2241;21;2;1;2;4;2;1;3;1;50;3;5;2;2
2384;24;3;1;1;1;2;1;3;1;64;2;5;1;4
601;4;2;1;1;4;2;1;2;1;23;2;2;1;3
2569;39;1;1;1;4;2;3;3;1;24;3;3;2;4
1316;15;3;1;2;4;4;3;4;1;47;2;3;2;2
10366;60;0;1;1;4;2;1;3;1;42;4;5;2;4
1568;18;9;1;1;4;2;2;2;1;24;2;3;1;4
629;18;3;1;2;4;4;3;3;1;32;4;5;2;3
1750;6;3;1;1;4;1;3;3;1;45;2;5;2;4
3488;24;1;1;1;4;2;2;2;1;23;3;4;2;4
1800;18;3;1;2;4;4;1;3;1;24;3;3;2;2
4151;24;2;1;2;4;3;2;3;1;35;3;3;2;3
2631;15;5;1;1;2;2;2;2;1;25;2;3;2;2
5248;21;1;1;1;4;2;5;3;1;26;3;3;2;3
2899;18;0;1;1;2;3;5;3;1;43;3;5;2;4
6204;18;5;1;1;2;3;1;3;1;44;2;3;2;4
804;12;3;1;1;4;2;1;3;1;38;3;5;2;4
3595;36;3;1;1;4;2;1;3;1;28;3;5;2;2
5711;36;1;1;2;4;4;4;3;1;38;4;5;2;2
2687;15;9;1;1;3;2;1;3;1;26;3;4;1;4
3643;15;2;1;2;1;3;1;2;1;27;2;5;2;4
2146;10;2;1;2;4;4;1;2;1;23;3;2;1;3
2315;10;3;1;1;1;2;1;3;1;52;2;5;2;4
3448;5;9;1;1;4;2;1;3;1;74;2;4;2;4
2708;15;2;1;2;4;2;1;3;1;27;2;2;2;3
1393;11;0;1;2;4;4;1;2;1;35;4;2;2;4
1275;10;2;1;1;3;2;1;2;1;23;3;2;2;2
1313;9;2;1;1;4;2;1;3;1;20;3;5;2;4
1493;12;3;1;1;4;2;1;2;1;34;3;2;2;3
2675;22;3;1;1;4;2;3;3;1;40;3;5;2;4
2118;9;3;1;1;2;2;1;3;1;37;2;3;2;2
909;36;0;1;1;4;2;3;3;1;36;3;5;2;4
1258;12;2;1;2;4;4;1;2;1;22;2;2;1;4
1569;15;3;1;1;4;1;2;3;1;34;2;5;2;4
1236;6;1;1;1;4;2;3;3;1;50;3;3;1;4
7678;36;2;1;2;4;3;3;2;1;40;3;4;2;4
660;6;5;1;1;4;2;3;4;1;23;2;4;1;4
2835;24;2;1;1;4;2;3;3;1;53;3;5;2;4
2670;24;1;1;1;4;2;1;3;1;35;4;5;2;4
3447;12;8;1;1;4;1;3;2;1;35;2;3;2;3
3568;15;3;1;1;4;2;1;2;1;54;4;5;1;2
3652;21;9;1;2;2;4;1;3;1;27;3;4;2;3
3660;24;3;1;1;1;2;1;2;1;28;3;3;2;4
1126;9;3;1;1;3;2;2;1;1;49;3;5;2;4
683;6;3;1;1;3;3;1;2;1;29;3;2;2;1
2251;12;2;1;1;3;2;1;2;1;46;2;3;2;2
4675;12;1;1;1;4;2;5;2;1;20;3;2;1;4
2353;21;0;1;2;2;3;1;1;1;47;3;3;2;4
3357;21;3;1;1;1;2;4;2;1;29;3;2;2;2
672;6;0;1;1;4;2;1;2;1;54;1;1;2;4
338;6;3;1;2;1;4;3;3;1;52;3;5;2;4
2697;9;3;1;1;4;2;1;3;1;32;3;3;2;2
2507;9;0;1;1;4;2;3;3;1;51;2;5;3;4
1478;15;3;1;2;4;3;1;4;1;33;3;3;2;3
3565;12;6;1;2;4;4;5;3;1;37;2;2;2;1
2221;15;2;1;1;4;2;3;2;1;20;3;3;1;4
1898;6;3;1;2;4;4;5;3;1;34;2;3;2;2
1449;6;9;1;2;2;3;2;1;1;31;3;5;2;2
960;15;2;1;2;4;3;4;2;1;30;3;4;2;2
8133;36;1;1;1;4;2;1;2;1;30;3;3;2;2
2301;9;2;1;1;4;2;2;2;1;22;3;2;1;4
1743;6;9;1;2;4;3;2;3;1;34;2;3;2;2
983;12;2;1;1;2;2;4;2;1;19;2;2;1;4
2320;18;3;1;2;4;3;1;4;1;34;3;1;2;3
339;12;8;1;1;1;1;1;4;1;45;2;5;2;1
5152;24;3;1;1;3;2;1;3;1;25;3;4;2;2
3749;24;2;1;1;3;2;1;2;1;26;3;2;2;4
3074;9;3;1;2;4;4;5;3;1;33;3;3;2;2
745;9;3;0;1;3;2;1;2;1;28;2;3;2;2
1469;24;0;1;1;4;2;2;4;1;41;2;5;1;4
1374;6;2;1;1;1;2;1;3;1;36;2;3;2;2
783;6;0;1;1;4;1;5;3;3;26;2;3;2;2
2606;21;3;1;1;1;2;1;2;1;28;4;2;1;4
9436;54;1;1;1;4;0;5;3;1;39;2;3;2;2
930;12;3;1;4;4;4;5;3;1;65;3;5;2;4
2751;48;1;1;2;4;4;5;3;1;38;3;5;2;3
250;6;0;1;2;4;4;4;2;1;41;2;3;2;2
1201;24;0;1;1;2;2;1;3;1;26;3;2;2;1
662;6;0;1;1;1;2;1;3;1;41;2;2;2;4
1300;15;1;1;1;4;2;5;3;1;45;3;5;3;4
1559;24;9;1;1;4;1;1;3;1;40;3;4;2;4
3016;12;3;1;1;3;2;1;4;1;24;3;3;2;1
1360;15;3;1;2;4;4;1;3;1;31;3;3;2;2
1204;6;0;1;1;4;0;2;3;1;35;3;3;1;1
1597;10;0;1;1;4;2;3;3;1;40;2;3;1;2
2073;12;3;1;1;4;2;2;2;2;28;3;3;2;2
2142;11;9;1;1;4;2;4;1;1;28;3;5;2;2
2132;10;2;1;2;1;4;5;2;2;27;3;2;1;3
1546;10;0;1;1;4;2;1;3;1;31;2;3;2;2
1287;24;0;1;2;4;4;4;2;1;37;3;5;2;4
1418;10;0;1;1;4;2;2;3;1;35;2;3;1;2
1343;6;0;1;2;3;4;1;3;1;46;3;5;2;4
