CREDITO;CREDITO_DURACAO;CREDITO_PROPOSITO;HISTORICO_CREDIBILIDADE;HISTORICO_CREDITOS;HISTORICO_MOVIMENTACAO_BANCARIA;HISTORICO_PAGAMENTOS_ANTERIORES;HISTORICO_POUPANCA;CLIENTE_SEXO_ESTADO_CIVIL;CLIENTE_FIADOR;CLIENTE_IDADE;CLIENTE_EMPREGO;CLIENTE_TEMPO_EMPREGO;CLIENTE_HABITACAO;CLIENTE_TEMPO_HABITACAO
2662;18;0;1;1;4;2;5;3;1;32;3;4;2;3
6070;18;3;1;2;4;4;1;3;1;33;3;5;2;4
1927;24;6;1;2;4;4;5;2;1;33;3;3;2;2
2404;18;3;1;2;4;4;1;2;1;26;3;3;2;2
1554;6;3;1;2;4;4;1;2;1;24;3;4;1;2
1283;22;0;1;1;4;2;5;2;1;25;3;4;1;4
717;24;0;1;2;4;3;5;4;1;54;3;5;2;4
1747;24;2;1;1;1;2;1;3;2;24;2;2;2;1
1288;9;5;1;2;1;4;2;3;3;48;3;5;2;4
1038;10;0;1;2;1;4;1;3;2;49;3;4;2;3
2848;10;1;1;1;4;2;2;3;2;32;3;3;2;2
1413;12;1;1;1;4;2;4;3;1;55;3;4;2;2
3077;30;3;1;2;4;4;5;3;1;40;3;5;2;2
3632;24;1;1;1;1;1;1;2;3;22;3;3;1;4
3229;18;1;1;1;4;4;5;3;1;38;4;1;2;4
3577;9;0;1;1;4;2;2;3;3;26;3;3;1;2
682;12;0;1;2;4;4;2;2;1;51;3;4;2;3
1924;10;3;1;1;4;2;1;3;1;38;3;3;2;4
727;10;6;1;1;4;2;3;3;1;46;3;5;3;4
781;10;0;1;2;3;4;1;3;1;63;3;5;3;4
2121;12;0;1;2;1;4;1;3;1;30;3;3;2;2
701;12;6;1;2;4;4;1;3;1;32;3;3;2;2
2069;10;2;1;2;4;4;5;4;1;26;3;3;2;1
1525;24;0;1;1;4;2;4;2;1;34;3;4;2;3
7629;48;9;1;2;4;4;5;1;1;46;4;5;2;2
3499;12;0;0;2;1;4;1;2;2;29;3;3;2;2
1346;6;3;1;1;4;2;2;3;1;42;3;5;3;4
10477;36;1;1;2;4;4;5;3;1;42;3;5;3;4
2924;24;1;1;1;1;2;1;3;3;63;3;3;2;4
1231;10;0;1;2;4;4;1;3;1;32;2;5;2;4
1961;18;0;1;1;3;2;1;2;1;23;4;5;2;2
5045;15;0;1;1;4;4;5;2;1;59;3;5;2;4
1255;12;0;1;2;4;4;1;3;1;61;2;5;2;4
1858;12;2;1;1;1;2;1;2;1;22;3;2;1;1
1221;6;2;1;2;4;4;5;4;1;27;3;3;2;2
1388;9;2;1;1;4;2;1;2;1;26;3;3;1;2
2279;12;3;1;1;4;2;5;3;1;37;3;3;3;4
2759;12;2;1;2;4;0;1;3;1;34;3;5;2;4
1258;24;3;1;1;3;2;3;2;1;57;2;3;2;3
1410;12;8;1;1;2;0;1;3;1;31;2;3;2;2
1403;15;0;1;1;1;2;1;2;1;28;3;3;1;4
3021;24;2;1;1;1;2;1;1;1;24;2;3;1;2
6568;24;9;1;1;1;2;1;4;1;21;2;3;2;2
2578;24;3;1;1;4;4;4;3;1;34;3;5;2;2
7758;24;1;1;1;2;4;4;2;1;29;3;5;1;4
343;6;4;1;1;1;2;1;2;1;27;3;2;2;1
1591;21;2;1;2;4;3;2;3;1;34;4;4;2;3
3416;27;3;1;1;1;2;1;3;1;27;4;3;2;2
1108;12;5;0;2;1;0;1;3;1;28;3;4;2;3
5965;27;1;1;2;2;3;1;3;1;30;4;5;2;2
1514;15;5;1;1;2;2;2;3;3;22;3;3;2;2
6742;30;3;1;2;4;4;5;3;1;36;3;4;2;3
3650;18;2;1;1;1;2;1;2;1;22;3;2;1;4
3599;21;2;1;1;1;2;1;2;1;26;2;4;1;4
13756;60;0;1;1;4;4;5;3;1;63;4;5;3;4
276;9;0;1;1;2;2;1;4;1;22;2;3;1;4
4041;42;2;1;2;4;4;3;3;1;36;3;3;2;4
458;9;3;1;1;2;2;1;3;1;24;3;3;2;3
918;9;2;0;1;2;2;1;2;1;30;3;3;2;1
7393;24;0;1;1;4;2;1;3;1;43;2;3;2;4
1225;10;4;1;1;3;2;1;3;1;37;3;3;2;2
2812;24;1;1;1;1;2;5;2;1;26;3;5;1;4
3029;15;1;1;1;4;2;1;3;1;33;3;4;2;2
1480;12;0;1;3;3;4;3;3;1;66;1;1;3;4
1047;6;6;1;1;3;4;1;2;1;50;2;3;2;4
1471;15;3;1;2;4;4;1;3;1;35;3;3;3;4
5511;24;2;1;1;4;2;2;3;1;25;3;3;2;1
1206;9;3;1;1;2;2;1;2;1;25;3;5;2;4
6403;24;3;1;1;2;3;1;3;1;33;3;2;2;2
707;12;3;1;2;4;2;1;3;1;30;3;3;2;2
1503;12;1;1;1;4;3;1;4;1;41;3;3;1;4
6078;12;0;1;1;2;2;1;3;1;32;3;4;2;2
2528;27;9;1;1;2;2;1;2;1;32;3;2;2;1
1037;12;9;1;1;2;2;2;3;1;39;2;4;2;4
1352;6;1;1;1;1;2;3;2;1;23;1;1;1;2
3181;24;3;1;1;4;2;1;2;1;26;3;2;2;4
4594;18;3;1;1;4;2;1;3;1;32;3;2;2;2
5381;48;10;1;1;2;2;5;3;1;40;1;1;3;4
4657;15;1;1;1;4;2;1;3;1;30;3;3;2;2
1391;9;9;1;1;2;2;1;4;1;27;3;3;2;1
1913;18;9;1;1;2;2;4;4;1;36;3;2;2;3
7166;42;3;1;1;4;2;5;4;1;29;3;4;1;4
1409;13;3;1;1;4;2;2;2;1;64;3;1;2;4
2978;24;9;1;2;4;3;5;3;1;32;3;3;2;4
976;12;3;1;2;4;4;5;3;1;35;3;5;2;4
2375;24;9;1;2;4;3;3;3;1;44;3;3;2;2
522;12;3;1;2;4;4;3;3;1;42;3;5;2;4
2743;28;3;1;2;4;4;1;3;1;29;3;5;2;2
1154;11;3;1;3;4;4;2;2;1;57;2;1;2;4
5804;24;1;1;2;4;4;4;3;1;27;3;3;2;2
1169;18;3;1;2;4;4;5;3;1;29;3;3;2;3
1478;15;2;1;2;1;4;1;3;1;44;3;5;2;4
776;12;3;1;1;4;2;1;4;1;28;3;3;2;2
1322;11;0;1;2;2;4;4;2;1;40;3;3;2;4
1175;16;0;1;3;2;4;1;3;1;68;1;1;3;3
2133;12;0;1;1;4;2;5;2;1;52;4;5;3;4
1829;15;3;1;2;4;4;1;3;1;46;3;5;2;4
717;12;3;1;3;4;4;1;3;1;52;3;5;2;4
11760;39;6;1;1;2;3;2;3;1;32;3;4;1;3
1501;9;6;0;2;2;4;1;2;1;34;4;5;2;3
1200;12;6;1;1;1;2;5;2;1;23;3;3;1;4
3195;9;0;1;1;2;2;5;2;1;33;2;3;2;2
4530;30;3;1;1;4;4;1;2;1;26;4;4;1;4
1555;12;5;0;2;4;3;4;3;1;55;3;5;3;4
2326;15;9;1;1;2;4;3;3;1;27;3;3;2;4
1887;18;9;1;2;2;4;5;4;1;28;3;3;2;4
1264;12;9;1;1;4;4;5;3;1;57;2;5;1;4
846;7;3;1;1;4;3;5;3;1;36;3;5;3;4
1532;15;6;1;1;4;4;2;2;1;31;3;3;2;3
935;6;3;1;1;4;3;1;2;1;24;3;3;2;2
2442;27;9;1;4;1;4;1;3;1;43;4;5;2;4
3590;18;9;1;3;2;4;1;4;1;40;1;1;2;3
2288;21;2;1;1;4;4;1;2;1;23;3;2;2;4
5117;27;9;1;2;4;3;1;3;1;26;3;4;2;4
14179;39;2;1;2;1;4;5;3;1;30;4;4;2;4
1386;15;3;1;1;4;2;5;4;1;40;3;3;1;2
618;12;3;1;1;4;4;1;3;1;56;3;5;2;4
1574;12;2;1;1;4;2;1;3;1;50;3;3;2;2
700;6;3;1;2;4;4;5;3;1;36;3;5;3;4
886;12;3;1;1;4;2;5;2;1;21;3;3;2;2
4686;36;1;1;1;4;2;1;3;1;32;4;3;3;2
790;9;3;1;1;2;2;3;2;1;66;2;3;2;3
766;12;3;0;1;2;2;3;3;1;66;2;3;2;3
2212;20;2;1;1;1;2;5;3;1;39;3;4;2;4
7308;10;0;1;1;2;2;1;3;1;70;4;1;3;4
5743;24;6;1;2;2;4;1;2;1;24;3;2;3;4
3973;14;0;1;1;1;2;1;3;1;22;3;1;3;4
7418;60;3;1;1;2;3;5;3;1;27;2;3;2;1
2629;20;10;1;2;2;3;1;3;1;29;3;3;2;3
1941;18;9;1;1;2;2;4;3;1;35;2;3;2;2
2333;24;2;1;1;2;3;5;3;1;29;2;2;2;2
2445;12;1;1;1;4;2;5;4;1;26;3;2;1;4
6468;20;1;1;1;2;2;5;1;1;60;4;1;2;4
7374;18;2;1;2;2;4;1;3;1;40;4;1;2;4
3812;15;1;1;1;4;2;2;2;1;23;3;2;2;4
4006;28;0;0;1;1;2;1;3;1;45;2;3;2;2
7472;12;0;1;1;2;2;5;2;1;24;1;1;1;2
1424;12;2;1;1;3;2;5;2;1;55;4;5;2;4
2028;12;1;1;1;2;2;5;3;1;30;3;3;2;2
5324;15;0;1;1;4;2;3;2;1;35;3;5;3;4
2323;36;3;1;1;2;2;1;3;1;24;3;4;1;4
1393;12;6;1;3;4;2;1;3;1;47;3;5;2;4
1984;18;2;1;2;4;2;1;3;1;47;3;3;3;4
999;24;3;1;2;4;2;5;3;1;25;3;5;2;2
7409;36;9;1;2;4;2;5;3;1;37;3;5;2;2
2186;15;2;1;1;4;2;5;2;1;33;2;4;1;4
4473;36;3;1;1;3;2;1;3;1;31;3;5;2;2
937;24;8;1;2;4;2;1;4;1;27;2;2;2;3
3422;18;2;1;3;4;2;1;3;1;47;3;5;2;4
3105;24;3;1;2;4;2;5;3;1;25;3;2;2;2
2748;12;6;1;3;4;4;1;2;1;57;2;5;3;4
3872;18;5;1;1;2;2;1;2;1;67;3;1;2;4
5190;27;5;1;4;4;2;5;3;1;48;3;5;2;4
3001;18;2;1;1;2;2;1;2;1;40;3;4;1;4
3863;24;9;1;1;4;3;1;3;1;32;3;3;3;2
5801;12;2;1;1;4;4;5;3;1;49;3;5;1;4
1592;12;2;1;1;4;4;4;2;1;35;3;4;2;2
1185;12;9;1;2;4;4;1;2;1;27;3;3;2;2
3780;18;2;1;2;4;4;1;1;1;35;4;2;2;2
3612;18;2;1;1;2;4;1;2;1;37;3;5;2;4
1076;12;9;1;1;4;2;1;4;1;26;3;3;2;2
3527;12;0;1;1;4;2;5;3;1;45;4;2;2;3
2051;18;3;1;1;4;2;1;3;1;33;3;2;2;1
3331;12;2;1;1;4;4;1;3;1;42;3;5;2;4
3104;18;9;1;1;1;0;1;3;1;31;3;4;2;1
2611;24;3;1;2;4;4;1;4;2;46;3;5;2;3
1409;12;1;1;1;1;4;1;3;1;54;3;5;2;3
1311;24;3;1;1;4;2;2;4;1;26;3;4;2;3
2108;6;3;1;1;4;2;1;4;1;29;3;4;1;2
4042;24;1;1;2;4;4;5;3;1;43;3;4;2;4
926;12;0;1;1;4;4;1;2;1;38;1;1;2;2
1680;12;3;1;1;1;2;3;4;1;35;3;5;2;1
1249;24;0;1;1;4;2;1;4;1;28;3;2;2;2
2463;24;0;1;2;4;4;2;4;1;27;3;4;2;3
1595;6;3;1;1;4;2;1;3;1;51;3;4;2;2
2058;24;5;1;2;4;4;1;1;1;33;3;3;2;2
7814;24;1;1;1;4;2;1;3;1;38;4;4;2;3
1740;6;3;1;2;4;4;1;4;1;30;3;5;1;2
1240;12;3;1;2;4;4;5;2;1;38;3;5;2;2
6842;24;1;1;2;4;4;5;3;1;46;4;3;2;4
5150;24;2;1;1;4;4;1;3;1;33;3;5;2;4
1203;6;0;1;1;1;2;2;3;1;43;3;5;2;2
2080;6;0;1;1;4;4;3;4;1;24;3;3;2;2
1538;6;6;1;1;4;2;1;2;1;56;3;2;2;2
3878;24;0;1;1;2;4;2;1;1;37;3;2;2;2
3832;30;2;1;1;2;2;1;4;1;22;3;2;2;1
3186;15;0;1;1;4;2;4;2;1;20;3;4;1;3
2896;24;3;1;1;2;2;2;3;1;29;3;2;2;1
6967;24;9;1;1;2;3;2;3;1;36;4;4;1;4
1819;36;6;0;1;4;2;1;3;1;37;3;3;3;4
5943;24;3;0;2;4;2;5;2;1;44;3;2;2;1
7127;36;2;0;2;4;4;1;2;1;23;3;2;1;4
3349;36;2;0;1;4;2;1;2;1;28;4;3;2;2
10974;36;2;0;2;4;2;1;2;1;26;4;1;2;2
518;6;3;1;1;4;2;1;2;1;29;3;3;2;1
1126;18;3;1;1;4;2;5;2;1;21;3;2;1;2
1860;12;1;1;2;2;4;1;3;1;34;4;1;2;2
9566;36;3;1;2;4;4;1;2;1;31;3;3;2;2
701;12;3;1;1;1;2;1;4;1;40;2;3;2;2
2930;12;3;1;1;2;2;1;2;1;27;3;4;2;1
1505;18;3;1;1;4;2;1;3;1;32;4;3;3;2
2238;18;3;1;2;4;4;1;2;1;25;3;3;2;1
1503;4;3;1;2;4;4;1;3;1;42;2;4;2;1
2197;24;1;1;2;4;4;5;3;1;43;3;4;2;4
1881;12;3;1;1;3;2;1;2;1;44;2;3;1;2
1880;18;3;1;2;1;4;1;4;1;32;4;4;2;1
2389;18;3;1;1;1;2;1;2;1;27;3;2;2;1
1967;24;3;1;1;2;2;1;2;1;20;3;5;2;4
3380;4;0;1;1;4;4;1;2;1;37;3;4;2;1
1455;4;0;1;3;4;4;1;3;1;42;2;4;2;1
730;7;3;1;2;4;4;5;3;1;46;2;5;1;2
3244;18;2;1;2;2;0;1;2;1;33;3;3;2;4
1670;9;3;0;1;2;2;1;2;1;22;3;2;2;2
3979;48;3;1;2;2;2;5;3;1;41;3;4;2;1
1922;12;2;0;1;2;2;1;3;1;37;2;3;2;2
1295;18;2;1;2;2;4;1;2;1;27;3;2;2;1
1544;4;3;1;3;4;4;1;3;1;42;2;4;2;1
907;8;9;1;1;2;2;1;4;1;26;3;2;2;2
1715;30;3;1;1;2;2;5;2;1;26;3;3;2;1
1347;10;3;1;2;3;4;5;3;1;27;3;4;2;2
1007;12;0;1;1;2;2;4;4;1;22;3;3;2;1
1402;12;2;1;1;4;4;3;2;1;37;3;4;1;4
2002;12;0;1;1;2;2;1;3;1;30;3;4;1;4
2096;12;6;1;1;4;4;1;3;1;49;2;4;2;3
1101;12;0;1;2;4;2;1;4;1;27;3;3;2;2
894;10;8;1;1;4;2;5;2;1;40;3;4;2;3
1577;11;2;1;1;2;2;4;2;1;20;3;2;2;1
2764;33;9;1;2;4;3;1;2;1;26;3;3;2;2
8358;48;0;1;2;2;0;3;2;1;30;3;2;2;1
1474;12;2;1;1;3;2;1;2;1;33;4;2;2;1
5433;24;1;1;1;4;2;5;2;1;26;4;1;1;4
1410;14;9;1;1;2;2;3;4;1;35;3;5;2;2
3485;20;0;1;2;4;4;5;1;1;44;3;2;2;4
3850;18;1;1;2;4;4;1;3;1;27;3;4;2;1
7408;60;0;0;1;2;2;2;2;1;24;4;2;2;2
1377;24;3;1;1;3;2;2;2;1;47;3;5;3;2
4272;30;9;1;2;4;3;2;3;1;26;2;3;2;2
1553;24;3;1;2;2;3;2;2;1;23;3;4;1;2
9857;36;9;1;2;2;3;2;3;1;31;2;4;2;3
362;6;0;1;2;4;4;2;2;1;52;2;3;2;4
1935;12;2;1;3;4;4;1;3;1;43;3;5;2;4
10222;48;3;1;1;4;2;5;3;1;37;3;4;2;3
1330;12;0;1;1;3;2;1;3;1;26;3;2;2;1
9055;36;6;1;1;4;2;5;3;1;35;2;3;3;4
7966;26;1;1;2;2;2;1;3;1;30;3;2;2;3
3496;30;2;1;1;2;1;4;3;1;34;3;3;2;2
6948;36;1;1;1;2;2;1;3;1;35;4;3;1;2
12204;48;9;1;1;2;0;5;3;1;48;4;3;2;2
3446;36;2;0;1;1;2;1;3;1;42;3;5;2;2
684;12;6;0;1;1;2;1;3;1;40;2;3;1;4
4281;33;2;0;2;1;4;3;2;1;23;3;3;2;4
7174;42;3;0;1;1;2;5;2;1;30;4;4;2;3
1546;24;3;0;1;1;1;1;3;3;24;2;4;1;4
2359;24;2;0;1;1;2;2;1;1;33;3;1;2;1
3621;24;3;0;2;4;2;2;3;1;31;3;5;2;4
741;12;4;0;1;1;2;2;2;1;22;3;1;2;3
7865;12;2;0;1;1;2;1;3;1;53;4;5;3;4
2910;24;1;1;1;1;2;1;3;1;34;4;4;3;1
5302;18;0;1;3;1;4;1;3;1;36;4;5;3;4
3620;36;2;1;1;1;2;1;3;3;37;3;3;2;2
3509;18;3;1;1;1;2;1;2;3;25;3;4;2;1
3017;12;2;1;1;2;2;1;2;1;34;4;2;1;1
1657;12;2;1;1;1;2;1;3;1;27;3;3;2;2
1164;8;10;1;2;1;4;1;3;1;51;4;5;3;4
6229;36;2;0;2;1;4;1;2;2;23;2;2;1;4
1193;24;0;0;2;1;1;1;2;2;29;1;1;1;4
4583;30;2;1;2;1;0;1;1;3;32;3;3;2;2
5371;36;2;1;2;1;4;1;3;3;28;3;3;2;2
708;12;2;1;1;1;2;1;3;3;38;2;3;2;3
571;21;0;1;2;1;4;1;3;1;65;3;5;2;4
2522;30;3;1;1;1;2;1;3;3;39;3;5;2;3
5179;36;2;0;1;1;2;1;3;1;29;3;4;2;2
8229;36;1;0;1;1;2;1;3;1;26;3;3;2;2
2028;24;2;1;2;4;4;1;3;1;30;2;4;2;2
1374;6;0;1;1;1;2;5;2;1;75;4;1;2;3
1289;12;2;1;1;1;2;1;3;3;21;2;3;2;1
2712;36;2;0;1;1;2;1;3;1;41;3;5;2;2
975;15;2;1;2;1;4;1;1;1;25;3;3;2;3
1050;6;2;1;2;2;3;1;3;1;35;4;1;2;1
609;6;0;1;2;1;4;1;2;1;37;3;4;2;3
4788;48;1;1;1;1;2;1;3;1;26;3;4;2;3
3069;24;2;1;1;2;2;2;3;1;30;3;5;3;4
836;12;0;0;1;2;2;2;2;1;23;2;2;2;2
2577;12;2;1;1;1;2;1;1;1;42;3;3;2;1
1620;12;2;1;1;1;2;1;2;2;30;3;3;2;3
1845;15;2;1;1;1;2;1;2;3;46;3;2;1;1
6579;24;1;1;1;1;2;1;3;1;29;4;1;3;2
1893;12;0;1;1;1;2;1;2;3;29;3;3;2;4
10623;30;1;1;3;1;4;1;3;1;38;4;5;3;4
2249;18;0;1;1;1;2;2;3;1;30;4;4;2;3
3108;30;2;0;1;1;2;1;1;1;31;2;2;2;4
958;12;0;1;2;2;4;1;3;1;47;2;4;2;3
9277;24;1;1;1;4;2;5;1;1;48;3;3;3;4
6314;24;10;1;2;4;4;1;3;2;27;4;1;2;2
1526;12;1;1;2;1;4;1;3;1;66;4;5;3;4
3590;12;2;1;1;1;2;1;3;2;29;2;3;2;2
6615;24;1;1;2;1;4;1;3;1;75;4;1;3;4
1872;6;2;1;3;1;4;1;3;1;36;4;1;3;4
2859;12;0;1;1;4;2;5;3;1;38;4;1;2;4
1582;18;3;1;2;4;4;4;3;1;46;3;5;2;4
1238;6;8;1;1;4;2;5;3;1;36;4;1;2;4
2578;12;2;1;1;1;2;1;2;1;55;4;1;3;4
1433;15;2;1;2;1;4;1;2;1;25;3;3;1;3
7882;42;2;1;1;1;2;1;3;3;45;3;4;3;4
4169;24;2;1;1;1;2;1;3;1;28;3;3;2;4
3959;36;2;1;1;1;2;1;3;1;30;4;1;2;3
3249;36;0;1;1;1;2;1;3;1;39;4;4;3;4
3149;24;2;1;1;1;2;1;3;1;22;3;2;3;1
2246;12;2;0;2;1;4;1;3;1;60;3;5;2;3
1797;13;9;1;2;1;4;1;3;1;28;2;2;2;1
4272;20;2;1;2;1;4;1;2;1;24;3;5;2;4
2957;24;1;1;2;1;4;1;3;1;63;3;5;2;4
2348;36;2;1;2;1;4;1;4;1;46;3;3;2;2
6289;42;9;1;2;3;0;1;1;1;33;3;2;2;1
6419;24;1;1;2;1;4;1;2;1;44;4;5;3;4
6143;48;1;0;2;1;4;1;2;1;58;2;5;3;4
1597;24;6;1;2;4;4;1;3;1;54;3;5;3;4
15857;36;10;1;1;1;2;1;1;2;43;4;1;2;3
2223;24;3;1;2;4;4;2;3;1;52;3;5;2;4
7238;48;3;1;2;4;3;5;3;1;32;3;5;2;3
2503;30;9;1;2;2;3;2;3;1;41;3;5;2;2
2622;18;9;1;1;2;2;2;3;1;34;3;3;2;4
4351;24;2;1;1;2;2;5;2;1;48;2;3;2;4
368;6;3;1;1;2;2;5;3;1;38;3;5;2;4
754;12;8;1;2;2;2;5;3;1;38;3;5;2;4
2424;24;3;1;2;4;4;5;3;1;53;3;5;2;4
6681;48;9;1;1;2;3;5;3;1;38;3;3;3;4
2427;18;9;1;2;2;3;5;3;1;42;3;5;2;2
1216;24;3;0;2;2;4;2;3;1;38;3;2;2;4
753;6;3;1;1;2;2;1;2;3;64;3;3;2;3
2576;7;3;1;1;2;2;1;3;3;35;3;3;2;2
590;6;3;1;1;2;2;1;4;1;26;2;2;2;3
1414;8;3;1;1;2;2;1;3;3;33;3;3;2;2
1103;12;3;1;2;2;2;1;3;3;29;3;4;2;3
585;12;3;1;2;2;3;1;4;2;20;3;3;1;4
1068;6;3;1;1;2;2;1;3;1;28;3;5;2;4
